#X,Displacement along Path(3)_Series Of Nodes
#Displacement(mm),Displacement(mm)_Real
0.000000E+00,0.000000E+00
5.778341E+01,6.055785E-04
1.196130E+02,2.047366E-03
1.896001E+02,4.798545E-03
2.710441E+02,9.276014E-03
3.638048E+02,1.578192E-02
4.623666E+02,2.400278E-02
5.617634E+02,3.328340E-02
6.611602E+02,4.318604E-02
7.605569E+02,5.334515E-02
8.599536E+02,6.341518E-02
9.593504E+02,7.306919E-02
1.058747E+03,8.200672E-02
1.158144E+03,8.995471E-02
1.257541E+03,9.667312E-02
1.356937E+03,1.019565E-01
1.456334E+03,1.056378E-01
1.555731E+03,1.075893E-01
1.655128E+03,1.077255E-01
1.754524E+03,1.060022E-01
1.853921E+03,1.024180E-01
1.953318E+03,9.701283E-02
2.052715E+03,8.986678E-02
2.152111E+03,8.109795E-02
2.251508E+03,7.085969E-02
2.350905E+03,5.933709E-02
2.450302E+03,4.674305E-02
2.549698E+03,3.331370E-02
2.649095E+03,1.930350E-02
2.748492E+03,4.979962E-03
2.847889E+03,-9.381831E-03
2.947285E+03,-2.350486E-02
3.046682E+03,-3.711577E-02
3.146079E+03,-4.995044E-02
3.245476E+03,-6.175928E-02
3.344872E+03,-7.231229E-02
3.444269E+03,-8.140367E-02
3.543666E+03,-8.885598E-02
3.643063E+03,-9.452368E-02
3.742459E+03,-9.829607E-02
3.841856E+03,-1.000995E-01
3.941253E+03,-9.989876E-02
4.040650E+03,-9.769806E-02
4.140046E+03,-9.354063E-02
4.239443E+03,-8.750802E-02
4.338840E+03,-7.971848E-02
4.438237E+03,-7.032452E-02
4.537633E+03,-5.950993E-02
4.636195E+03,-4.759093E-02
4.728956E+03,-3.548906E-02
4.810400E+03,-2.432012E-02
4.880387E+03,-1.443166E-02
4.942217E+03,-5.553315E-03
5.000000E+03,2.798537E-03


