#X,Displacement along Path(2)_Series Of Nodes
#Displacement(mm),Displacement(mm)_Real
0.000000E+00,0.000000E+00
5.778341E+01,-1.840758E-04
1.196130E+02,-6.397652E-04
1.896001E+02,-1.536050E-03
2.710441E+02,-3.042935E-03
3.638048E+02,-5.320662E-03
4.623666E+02,-8.337996E-03
5.617634E+02,-1.193673E-02
6.611602E+02,-1.602628E-02
7.605569E+02,-2.053807E-02
8.599536E+02,-2.540509E-02
9.593504E+02,-3.056041E-02
1.058747E+03,-3.593856E-02
1.158144E+03,-4.147489E-02
1.257541E+03,-4.710636E-02
1.356937E+03,-5.277131E-02
1.456334E+03,-5.841002E-02
1.555731E+03,-6.396469E-02
1.655128E+03,-6.937978E-02
1.754524E+03,-7.460216E-02
1.853921E+03,-7.958135E-02
1.953318E+03,-8.426970E-02
2.052715E+03,-8.862260E-02
2.152111E+03,-9.259863E-02
2.251508E+03,-9.615974E-02
2.350905E+03,-9.927141E-02
2.450302E+03,-1.019028E-01
2.549698E+03,-1.040267E-01
2.649095E+03,-1.056201E-01
2.748492E+03,-1.066635E-01
2.847889E+03,-1.071419E-01
2.947285E+03,-1.070439E-01
3.046682E+03,-1.063625E-01
3.146079E+03,-1.050946E-01
3.245476E+03,-1.032413E-01
3.344872E+03,-1.008075E-01
3.444269E+03,-9.780222E-02
3.543666E+03,-9.423812E-02
3.643063E+03,-9.013174E-02
3.742459E+03,-8.550313E-02
3.841856E+03,-8.037578E-02
3.941253E+03,-7.477643E-02
4.040650E+03,-6.873490E-02
4.140046E+03,-6.228382E-02
4.239443E+03,-5.545845E-02
4.338840E+03,-4.829642E-02
4.438237E+03,-4.083747E-02
4.537633E+03,-3.312318E-02
4.636195E+03,-2.526392E-02
4.728956E+03,-1.771488E-02
4.810400E+03,-1.099446E-02
4.880387E+03,-5.170481E-03
4.942217E+03,-1.472962E-06
5.000000E+03,4.838368E-03


